10088	2	514	23	541	0
# sit right
10089	425	479	441	497	0
# sit left
10090	5	479	21	497	0

#BRICK
20001	408	225	424	241	20

#GOOMBA
30001	5	14	21	29	10
30002	25	14	41	29	10
#die
30003	45	21	61	29	10

#brick with question mark animation
40001	300	117	316	133	20
40002	318	117	334	133	20
40003	336	117	352	133	20
40004	355	117	370	133	20

#KOOPAS
#walk left
50001	205	191	221	217	30
50002	222	191	238	217	30
#walk right
50011	187	191	202	217	30
50012	170	191	185	217	30
#die
50031	239	202	255	217	30


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	50	10022	50	10023	50
#walk left small
503	10031	50	10032	50	10033	50
#die
599	10099	100
#stop right small
504	10034	100
#stop left small
505	10035	100
#jump right small
506	10036	100
#jump left small
507	10037	100
#idle small hold right
508	10038	100
#idle small hold left
509	10039	100
#walk small hold right
510	10040	100	10038	100
#walk small hold left
511	10041	100	10039	100
#small hit right
512	10042	100
#small hit left
513	10043	100

#BIG 514 - 524
#stop right big
514	10014	100
#stop left big
515	10015	100
#jump up right big
516	10016	100
#jump up left big
517	10017	100
#jump down right big
518	10003	100
#jump down left big
519	10013	100
#idle big hold right
520	10018	100
#idle big hold left
521	10019	100
#walk big hold right
522	10020	100	10044	100
#walk big hold left
523	10045	100	10046	100
#big hit right
524	10047	100
#big hit left
525	10048	100
#big sit right
526	10049	100
#big sit left
527	10050	100

#TAIL 528 - 545
#idle right
528	10051	100
#idle left
529	10054	100
#walk right
530	10051	100	10052	100	10053	100
#walk left
531	10054	100	10055	100	10056	100
#stop right
532	10057	100
#stop left
533	10058	100
#jump up right 
534	10059	100
#jump up left 
535	10060	100
#jump down right 
536	10053	100
#jump down left 
537	10056	100
#idle hold right
538	10061	100
#idle hold left
539	10062	100
#walk hold right
540	10063	100	10064	100
#walk hold left
541	10065	100	10066	100
#hit right
542	10067	100
#hit left
543	10068	100
#sit right
544	10069	100
#sit left
545	10070	100

#FIRE 546 - 563
#idle right
546	10071	100
#idle left
547	10074	100
#walk right
548	10071	100	10072	100	10073	100
#walk left
549	10074	100	10075	100	10076	100
#stop right
550	10077	100
#stop left
551	10078	100
#jump up right 
552	10079	100
#jump up left 
553	10080	100
#jump down right 
554	10073	100
#jump down left 
555	10076	100
#idle hold right
556	10081	100
#idle hold left
557	10082	100
#walk hold right
558	10083	100	10084	100
#walk hold left
559	10085	100	10086	100
#hit right
560	10087	100
#hit left
561	10088	100
#sit right
562	10089	100
#sit left
563	10090	100

# ==== BRICK =========
601	20001	100

# ==== QUESTION MARK BRICK =========
602	40001	1000	40001	100	40002	100	40003	100	40004	100


# ==== GOOMBA  =========
# walk
701	30001	100	30002	100
# die
702	30003	100

# ==== KOOPAS  =========
#walk left
801	50001	100	50002	100
#walk right
802	50011	100	50012	100'
#die
803	50031	100

#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599	504	505	506	507	508	509	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	537	538	539	540	541	542	543	544	545	546	547	548	549	550	551	552	553	554	555	556	557	558	559	560	561	562	563
# BRICK 
2	601
# QUESTION MARK BRICK 
22	602
# GOOMBA
3	701	702
#KOOPAS
4	801	802	803

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4= Ground

# MARIO
0	10	0	1

# KOOPAS
3	20	390	4

# BRICK 
# --- platform (hint: I created the list using Excel!) ----

#
# 1	240	134	22

# GROUND
4	200	218	0	628	300
4	0	418	0	380	430

# --- SCENE PORTAL ----
# type	l	t	ani_set_id	r	b	scene_id
50	300	98	0	380	150	1

